Time,IDirNorm,WindVel
5660,0,2.799517816
5661,0,3.097046981
5662,0,3.102337828
5663,0,3.100967591
5664,0,3.1
5665,0,3.298742185
5666,0,3.403307215
5667,0,3.599124894
5668,0,3.903869875
5669,0,4.296614947
5670,0,4.596444278
5671,0,4.798926963
5672,0,4.897182864
5673,0,5.096243715
5674,0,5.59946426
5675,3,6.203490953
5676,4,6.703290237
5677,5,6.703290237
5678,5,6.703290237
5679,3,6.703290237
5680,0,6.703290237
5681,0,6.703290237
5682,0,6.703290237
5683,0,6.998114032
5684,0,7.403141225
5685,0,7.7014609
5686,0,7.7014609
5687,0,7.7014609
5688,0,7.7014609
5689,0,7.204672095
5690,0,6.700223877
5691,0,6.203434533
5692,0,4.598532375
5693,0,3.100483833
5694,0,1.5
5695,0,1.500833102
5696,0,1.49966663
5697,0,1.49939988
5698,5,2.403767876
5699,27,3.201452795
5700,59,4.1
5701,17,4.299174339
5702,9,4.397556139
5703,2,4.596444278
5704,1,3.902025115
5705,0,3.302029679
5706,0,2.597248544
5707,0,2.404163056
5708,0,2.299934782
5709,0,2.097450834
5710,0,1.9
5711,0,1.701881312
5712,0,1.498032042
5713,0,1.498032042
5714,0,1.500833102
5715,0,1.49939988
5716,0,1.904363411
5717,0,2.201681176
5718,0,2.597248544
5719,0,3.59684584
5720,0,4.704093962
5721,0,5.703691787
5722,0,6.004964613
5723,2,6.395474963
5724,4,6.700223877
5725,5,6.998542705
5726,4,7.403141225
5727,3,7.7014609
5728,0,7.204672095
5729,0,6.700223877
5730,0,6.203434533
5731,0,5.696885114
5732,0,5.103302852
5733,0,4.6
5734,0,5.00372861
5735,0,5.302263668
5736,0,5.703691787
5737,0,5.703691787
5738,0,5.703691787
5739,0,5.703691787
5740,0,5.703691787
5741,0,5.703691787
5742,0,5.703691787
5743,0,5.997140986
5744,54,6.404131479
5745,237,6.700223877
5746,124,7.601611671
5747,84,8.396719598
5748,29,9.298107334
5749,11,8.602848366
5750,4,7.898613802
5751,2,7.203089615
5752,1,7.702889068
5753,0,8.202688584
5754,0,8.705906041
5755,0,6.500807642
5756,0,4.299127819
5757,0,2.097450834
5758,0,2.795782538
