datetime,timestamp,zone_name,total_consumption_avg,power_production_biomass_avg,power_production_coal_avg,power_production_gas_avg,power_production_hydro_avg,power_production_nuclear_avg,power_production_oil_avg,power_production_solar_avg,power_production_wind_avg,power_production_geothermal_avg,power_production_unknown_avg
2019-03-10 09:00:00,1552208400,KR,56500.4533521775,579.8632241724957,25687.04528260594,16233.606969065137,612.9052584832511,12150.687866344055,312.6591287305041,0.0,42.252160521375906,0.0,881.4334622547412
2019-03-10 10:00:00,1552212000,KR,57131.876316790134,579.8632241724957,26051.77448762366,16464.107227045628,621.6078727862342,12150.687866344055,312.6591287305041,0.0,69.74304783280454,0.0,881.4334622547412
2019-03-10 11:00:00,1552215600,KR,57191.32548885219,579.8632241724957,26043.699112759954,16459.003780533072,621.4151904569223,12150.687866344055,312.6591287305041,0.0,142.56372360044583,0.0,881.4334622547412
2019-03-10 12:00:00,1552219200,KR,56771.81237119954,579.8632241724957,24124.87830370144,15246.354271194128,575.6312028078868,12150.687866344055,312.6591287305041,2664.9871198077653,235.3177921865169,0.0,881.4334622547412
2019-03-10 13:00:00,1552222800,KR,55876.25940261642,579.8632241724957,21078.845042455825,13321.333069505155,502.9513837476337,12150.687866344055,312.6591287305041,6662.467799519412,386.018425886598,0.0,881.4334622547412
2019-03-10 14:00:00,1552226400,KR,54853.16090120694,579.8632241724957,23277.509024078186,14710.83686575791,555.4125641266234,12150.687866344055,312.6591287305041,1998.740339855824,386.018425886598,0.0,881.4334622547412
2019-03-10 15:00:00,1552230000,KR,54125.11793261518,579.8632241724957,22033.458125021443,13924.626029804942,525.7289111621071,12150.687866344055,312.6591287305041,3331.233899759706,385.4272853651849,0.0,881.4334622547412
2019-03-10 16:00:00,1552233600,KR,54385.186954625875,579.8632241724957,22995.296452103576,14532.485174282241,548.6788363868104,12150.687866344055,312.6591287305041,1998.740339855824,385.3424704956224,0.0,881.4334622547412
2019-03-10 17:00:00,1552237200,KR,54898.322224004,579.8632241724957,22870.186433268882,14453.418592224629,545.6936511469709,12150.687866344055,312.6591287305041,2664.9871198077653,439.39274605394803,0.0,881.4334622547412
2019-03-10 18:00:00,1552240800,KR,55827.26133614033,579.8632241724957,22609.544559120714,14288.699073181031,539.4746106349616,12150.687866344055,312.6591287305041,3997.480679711648,467.4187319901696,0.0,881.4334622547412
2019-03-10 19:00:00,1552244400,KR,58387.18824020696,579.8632241724957,26534.821358781865,16769.381460331188,633.1336035259711,12150.687866344055,312.6591287305041,0.0,525.2081360661323,0.0,881.4334622547412
2019-03-10 20:00:00,1552248000,KR,59584.0,579.8632241724957,27309.943453464348,17259.24034833005,651.6283896164191,12150.687866344055,312.6591287305041,0.0,438.5441270873798,0.0,881.4334622547412
2019-03-10 21:00:00,1552251600,KR,58213.462301682535,579.8632241724957,26543.792419944377,16775.050959466076,633.347657361287,12150.687866344055,312.6591287305041,0.0,336.62758340899694,0.0,881.4334622547412
2019-03-10 22:00:00,1552255200,KR,55698.61062893016,579.8632241724957,25063.551468665482,15839.573579401334,598.0283961196903,12150.687866344055,312.6591287305041,0.0,272.8135032418487,0.0,881.4334622547412
2019-03-10 23:00:00,1552258800,KR,52907.06359997405,579.8632241724957,23448.607184619414,14818.966869064949,559.4950485524809,12150.687866344055,312.6591287305041,0.0,155.35081623540356,0.0,881.4334622547412
2019-03-11 00:00:00,1552262400,KR,56621.530942074125,579.8632241724957,25563.416752162833,16155.476652740454,609.9554222691794,12150.687866344055,312.6591287305041,0.0,368.0384333998578,0.0,881.4334622547412
2019-03-11 01:00:00,1552266000,KR,55532.28290387066,713.4107428484867,23075.665328548963,14583.276409257143,550.5964764442723,14949.096434282492,384.6672318360995,0.0,191.13506409667136,0.0,1084.4352165565306
2019-03-11 02:00:00,1552269600,KR,55065.50386226993,713.4107428484867,22857.829412239782,14445.609246288266,545.3988066802523,14949.096434282492,384.6672318360995,0.0,85.05677153802628,0.0,1084.4352165565306
2019-03-11 03:00:00,1552273200,KR,55237.57487545278,713.4107428484867,23000.75171641103,14535.932772700246,548.8090016177142,14949.096434282492,384.6672318360995,0.0,20.47175920018466,0.0,1084.4352165565306
